model_variant,quant_target,float_loss,float_ppl,quant_loss,quant_ppl,quant_gap,raw_quant_error,delta_vs_fp_base,delta_vs_fp_lora
before_ft_base,int4,2.045152661005656,7.730338569095234,2.1826107133229575,8.869431602015553,0.13745805231730168,,0.13745805231730168,0.3318133484522503
llama32_1b__instruction_tuning__int4__lambda_1e06,int4,1.8507502346038818,6.364592669548253,1.989643217086792,7.312924170418758,0.13889298248291015,5.571561359829502e-06,-0.05550944391886392,0.1388458522160847
llama32_1b__instruction_tuning__int4__lambda_1e07,int4,1.8710426743825277,6.4950651078948,2.0099084644317626,7.462634219590591,0.13886579004923494,4.941362931276672e-06,-0.035244196573893216,0.1591110995610554
llama32_1b__instruction_tuning__int4__lambda_1e08,int4,1.9345710245768228,6.92107444763943,2.0745676066080727,7.9611033862108,0.13999658203124987,4.714678652817383e-06,0.029414945602416864,0.22377024173736548
llama32_1b__instruction_tuning__int4__lambda_1e09,int4,2.005864028294881,7.43251302475983,2.177564245223999,8.824785046838818,0.1717002169291182,4.698117209045449e-06,0.13241158421834331,0.32676688035329193
llama32_1b__instruction_tuning__int4__lambda_1e10,int4,2.0844330418904624,8.040031828007681,2.303983704249064,10.013995897678729,0.21955066235860166,4.697648819274036e-06,0.2588310432434082,0.45318633937835684
llama32_1b__instruction_tuning__int4__lambda_1e11,int4,2.148168395360311,8.569148722055338,2.3745619862874348,10.746305126049583,0.22639359092712397,4.6975796976767015e-06,0.3294093252817789,0.5237646214167275
llama32_1b__instruction_tuning__int4__lambda_1e12,int4,2.1615613460540772,8.68468687978996,2.3895668137868245,10.908767391740614,0.2280054677327472,4.697480562754208e-06,0.3444141527811686,0.5387694489161172
llama32_1b__instruction_tuning__int8__lambda_1e06,int4,1.850879846572876,6.365417650398541,1.9869939352671306,7.293575814306233,0.13611408869425468,1.7313670497287603e-08,-0.05815872573852521,0.1361965703964234
llama32_1b__instruction_tuning__int8__lambda_1e07,int4,1.850880721728007,6.365423221128896,1.9870252838134765,7.2938044608895245,0.13614456208546954,1.6858313856005225e-08,-0.05812737719217931,0.1362279189427693
llama32_1b__instruction_tuning__int8__lambda_1e08,int4,1.8516781431833902,6.370501170541844,1.9863001302083334,7.288517249541376,0.1346219870249432,1.5373043282806975e-08,-0.058852530797322444,0.13550276533762617
llama32_1b__instruction_tuning__int8__lambda_1e09,int4,1.8768788824081422,6.5330824897688515,2.0176398544311525,7.520554368282704,0.1407609720230103,1.4715065610459988e-08,-0.02751280657450339,0.16684248956044523
llama32_1b__instruction_tuning__int8__lambda_1e10,int4,1.917018209139506,6.800650090383463,2.063879707336426,7.8764690026665996,0.14686149819691985,1.4683341653665138e-08,0.018727046330770047,0.21308234246571867
llama32_1b__instruction_tuning__int8__lambda_1e11,int4,1.9659772011439005,7.141888242655873,2.139990758895874,8.4993590850609,0.1740135577519737,1.468452381914176e-08,0.09483809789021835,0.28919339402516697
llama32_1b__instruction_tuning__int8__lambda_1e12,int4,2.0328780771891277,7.636031852308918,2.1738142827351887,8.791754404483266,0.140936205546061,1.4683788407410248e-08,0.12866162172953288,0.3230169178644815
no_quant_ft,int4,1.8507973648707072,6.36489264156783,1.9874699494043986,7.297048485959906,0.13667258453369135,5.710161531169433e-06,-0.057682711601257264,0.13667258453369135
before_ft_base,int8,2.045152661005656,7.730338569095234,2.0466472829182942,7.741901141197068,0.001494621912638383,,0.001494621912638383,0.195849918047587
llama32_1b__instruction_tuning__int4__lambda_1e06,int8,1.8507502346038818,6.364592669548253,1.8513238906860352,6.368244804278065,0.0005736560821534287,5.571561359829502e-06,-0.19382877031962065,0.0005265258153279717
llama32_1b__instruction_tuning__int4__lambda_1e07,int8,1.8710426743825277,6.4950651078948,1.8712008498509725,6.4960925491166766,0.0001581754684447656,4.941362931276672e-06,-0.1739518111546834,0.02040348498026523
llama32_1b__instruction_tuning__int4__lambda_1e08,int8,1.9345710245768228,6.92107444763943,1.935044569651286,6.924352664484562,0.0004735450744630665,4.714678652817383e-06,-0.11010809135436994,0.08424720478057868
